Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag
0.00015547,-2,8.47712,0.9500000477,2.4618122578,0.95,0.158,3.8427,4.58,1,0,0.537,0,0,0,0,0,-1,-9.5E-14,0,0.7553,0.2446,2.861E-05,7.815E-06,7.1E-05,-1,0.0001636,4.375,4.578,4.811,4.491,4.257,4.025,3.76,3.545,3.533
0.00015547,-2,8.47712,1,2.4729156494,1,0.261,3.8582,4.562,1,0,0.537,0,0,0,0,0,-1,-1.2E-13,0,0.7555,0.2444,2.859E-05,7.81E-06,7.096E-05,-1,0.0001377,4.117,4.311,4.507,4.22,4.014,3.81,3.581,3.398,3.388
0.00015547,-2,8.47712,1.0499999523,2.4828116894,1.05,0.358,3.8751,4.553,1,0,0.537,0,0,0,0,0,-1,-1.37E-13,0,0.7557,0.2442,2.858E-05,7.806E-06,7.092E-05,-1,0.0001353,3.875,4.067,4.217,3.964,3.789,3.616,3.426,3.277,3.269
0.00015547,-2,8.47712,1.1000000238,2.4916803837,1.099,0.449,3.894,4.559,1,0,0.537,0,0,0,0,0,-1,-1.51E-13,0,0.7558,0.244,2.856E-05,7.801E-06,7.088E-05,-1,0.0001636,3.649,3.841,3.939,3.724,3.585,3.448,3.299,3.188,3.181
0.00015547,-2,8.47712,1.1095774174,2.4932744503,1.109,0.465,3.8978,4.561,1,0,0.537,0,0,0,0,0,-1,-1.54E-13,0,0.7559,0.244,2.856E-05,7.8E-06,7.087E-05,-1,0.0001636,3.607,3.799,3.888,3.68,3.548,3.418,3.277,3.174,3.167
0.00015547,-2,8.47712,1.1499999762,2.4996678829,1.149,0.535,3.9133,4.569,1,0,0.537,0,0,0,0,0,-1,-1.64E-13,0,0.756,0.2438,2.855E-05,7.797E-06,7.084E-05,-1,0.0001637,3.433,3.629,3.681,3.504,3.401,3.3,3.191,3.115,3.108
0.00015547,-2,8.47712,1.2000000477,2.5068950653,1.199,0.616,3.9316,4.579,1,0,0.537,0,0,0,0,0,-1,-1.74E-13,0,0.7561,0.2437,2.853E-05,7.794E-06,7.081E-05,-1,0.0001637,3.229,3.432,3.449,3.31,3.241,3.171,3.096,3.048,3.041
0.00015547,-2,8.47712,1.25,2.513461113,1.25,0.694,3.9488,4.588,1,0,0.537,0,0,0,0,0,-1,-1.81E-13,0,0.7563,0.2435,2.851E-05,7.79E-06,7.077E-05,-1,0.0001637,3.035,3.253,3.255,3.152,3.108,3.063,3.015,2.985,2.979
0.00015547,-2,8.47712,1.2999999523,2.5194499493,1.3,0.768,3.9652,4.596,1,0,0.537,0,0,0,0,0,-1,-1.86E-13,0,0.7565,0.2433,2.85E-05,7.786E-06,7.075E-05,-1,0.0001636,2.85,3.08,3.088,3.015,2.99,2.964,2.939,2.923,2.919
0.00015547,-2,8.47712,1.3500000238,2.5249314308,1.35,0.841,3.981,4.604,1,0,0.537,0,0,0,0,0,-1,-1.87E-13,0,0.7566,0.2432,2.849E-05,7.783E-06,7.071E-05,-1,0.0001637,2.668,2.91,2.938,2.89,2.879,2.869,2.865,2.86,2.859
0.00015547,-2,8.47712,1.3999999762,2.5299651623,1.4,0.911,3.9962,4.61,1,0,0.537,0,0,0,0,0,-1,-1.83E-13,0,0.7568,0.2431,2.848E-05,7.779E-06,7.068E-05,-1,0.0001637,2.493,2.748,2.805,2.778,2.778,2.781,2.795,2.798,2.8
0.00015547,-2,8.47712,1.4500000477,2.5346016884,1.45,0.978,4.0106,4.616,1,0,0.537,0,0,0,0,0,-1,-1.74E-13,0,0.7569,0.2429,2.846E-05,7.775E-06,7.065E-05,-1,0.0001636,2.324,2.593,2.685,2.677,2.685,2.697,2.728,2.737,2.742
0.00015547,-2,8.47712,1.5,2.5388846397,1.5,1.044,4.0244,4.62,1,0,0.537,0,0,0,0,0,-1,-1.59E-13,0,0.7571,0.2428,2.845E-05,7.773E-06,7.062E-05,-1,0.0001637,2.161,2.448,2.575,2.583,2.598,2.617,2.662,2.677,2.686
0.00015547,-2,8.47712,1.5303332806,2.5413265228,1.53,1.082,4.0324,4.622,1,0,0.537,0,0,0,0,0,-1,-1.43E-13,0,0.7572,0.2427,2.844E-05,7.77E-06,7.06E-05,-1,0.0001637,2.065,2.363,2.512,2.529,2.547,2.571,2.624,2.641,2.652
0.00015547,-2,8.47712,1.5499999523,2.5428512096,1.55,1.106,4.0374,4.624,1,0,0.537,0,0,0,0,0,-1,-1.35E-13,0,0.7572,0.2426,2.844E-05,7.769E-06,7.059E-05,-1,0.0001636,2.004,2.31,2.473,2.495,2.515,2.541,2.599,2.618,2.629
0.00015547,-2,8.47712,1.5945255756,2.5461437702,1.594,1.161,4.0486,4.626,1,0,0.537,0,0,0,0,0,-1,-1.04E-13,0,0.7573,0.2425,2.843E-05,7.766E-06,7.057E-05,-1,0.0001346,1.868,2.193,2.386,2.419,2.443,2.474,2.543,2.565,2.58
0.00015547,-2,8.47712,1.6000000238,2.5465342999,1.6,1.167,4.05,4.627,1,0,0.537,0,0,0,0,0,-1,-1.01E-13,0,0.7574,0.2425,2.843E-05,7.766E-06,7.056E-05,-1,0.0001259,1.852,2.179,2.376,2.41,2.434,2.466,2.536,2.559,2.573
0.00015547,-2,8.47712,1.6266657114,2.5483922958,1.626,1.199,4.0564,4.628,1,0,0.537,0,0,0,0,0,-1,-7.47E-23,0,0.7574,0.2424,2.842E-05,7.764E-06,7.055E-05,-1,0.000118,1.772,2.111,2.326,2.366,2.392,2.426,2.503,2.527,2.544
0.00015547,-2,8.47712,1.6499998569,2.5499615669,1.649,1.227,4.062,4.629,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7575,0.2424,2.842E-05,7.764E-06,7.054E-05,-1,0.000122,1.703,2.052,2.283,2.328,2.356,2.392,2.474,2.5,2.518
0.00015547,-2,8.47712,1.6935071945,2.5527553558,1.693,1.277,4.0722,4.63,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7576,0.2423,2.841E-05,7.761E-06,7.052E-05,-1,0.0001555,1.577,1.946,2.205,2.258,2.289,2.329,2.421,2.449,2.469
0.00015547,-2,8.47712,1.7000000477,2.5531582832,1.699,1.285,4.0737,4.63,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7576,0.2423,2.841E-05,7.761E-06,7.052E-05,-1,0.0001637,1.558,1.931,2.194,2.248,2.279,2.32,2.413,2.441,2.462
0.00015547,-2,8.47712,1.7181763649,2.5542674065,1.717,1.306,4.0779,4.631,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7576,0.2422,2.84E-05,7.76E-06,7.051E-05,-1,0.0001637,1.506,1.888,2.163,2.219,2.252,2.294,2.391,2.42,2.442
0.00015547,-2,8.47712,1.75,2.556145668,1.749,1.342,4.0851,4.631,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7577,0.2421,2.84E-05,7.758E-06,7.049E-05,-1,0.0001637,1.416,1.813,2.108,2.17,2.204,2.249,2.352,2.384,2.407
0.00015547,-2,8.47712,1.7999999523,2.5589430332,1.799,1.398,4.0961,4.632,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7578,0.2421,2.839E-05,7.756E-06,7.047E-05,-1,0.0001636,1.276,1.699,2.023,2.093,2.13,2.179,2.291,2.326,2.351
0.00015547,-2,8.47712,1.8499999046,2.5615673065,1.849,1.453,4.1068,4.631,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7579,0.2419,2.838E-05,7.754E-06,7.046E-05,-1,0.0001595,1.138,1.589,1.94,2.017,2.056,2.11,2.231,2.268,2.296
0.00015547,-2,8.47712,1.8767999411,2.5629076958,1.876,1.482,4.1123,4.631,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.758,0.2419,2.838E-05,7.752E-06,7.044E-05,-1,0.0001633,1.066,1.531,1.896,1.976,2.017,2.072,2.198,2.236,2.265
0.00015547,-2,8.47712,1.9000000954,2.5640332699,1.899,1.507,4.1169,4.63,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.758,0.2418,2.837E-05,7.751E-06,7.043E-05,-1,0.0001636,1.003,1.481,1.858,1.94,1.983,2.039,2.169,2.208,2.238
0.00015547,-2,8.47712,1.9500000477,2.5663545132,1.95,1.56,4.1266,4.626,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7581,0.2418,2.836E-05,7.749E-06,7.042E-05,-1,0.0001636,0.87,1.374,1.775,1.863,1.908,1.968,2.105,2.147,2.178
0.00015547,-2,8.47712,1.9646311998,2.5670080185,1.964,1.576,4.1293,4.625,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7581,0.2417,2.836E-05,7.748E-06,7.041E-05,-1,0.0001637,0.831,1.343,1.75,1.84,1.885,1.947,2.086,2.128,2.16
0.00015547,-2,8.47712,2,2.5685424805,2,1.613,4.1357,4.621,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7582,0.2416,2.835E-05,7.747E-06,7.039E-05,-1,0.0001637,0.737,1.267,1.69,1.784,1.83,1.894,2.038,2.082,2.115
0.00015547,-2,8.47712,2.0149023533,2.5691707134,2.015,1.629,4.1383,4.619,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7582,0.2416,2.835E-05,7.746E-06,7.039E-05,-1,0.0001637,0.698,1.236,1.665,1.76,1.807,1.872,2.018,2.062,2.096
0.00015547,-2,8.47712,2.0499999523,2.5706083775,2.05,1.665,4.1441,4.613,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7582,0.2416,2.835E-05,7.746E-06,7.038E-05,-1,0.0001637,0.607,1.161,1.604,1.703,1.752,1.818,1.969,2.015,2.05
0.00015547,-2,8.47712,2.0649216175,2.571202755,2.064,1.68,4.1465,4.61,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7583,0.2416,2.835E-05,7.745E-06,7.038E-05,-1,0.0001636,0.569,1.13,1.578,1.679,1.728,1.795,1.948,1.994,2.03
0.00015547,-2,8.47712,2.0999999046,2.5725615025,2.099,1.716,4.1518,4.603,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7583,0.2415,2.834E-05,7.744E-06,7.037E-05,-1,0.0001636,0.479,1.055,1.516,1.62,1.671,1.74,1.896,1.944,1.98
0.00015547,-2,8.47712,2.1500000954,2.574410677,2.149,1.767,4.1588,4.59,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7584,0.2414,2.834E-05,7.742E-06,7.035E-05,-1,0.0001637,0.352,0.95,1.427,1.534,1.587,1.658,1.82,1.869,1.907
0.00015547,-2,8.47712,2.1593854427,2.5747468472,2.158,1.777,4.16,4.588,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7584,0.2414,2.834E-05,7.741E-06,7.035E-05,-1,0.0001637,0.329,0.93,1.409,1.518,1.571,1.642,1.805,1.854,1.892
0.00015547,-2,8.47712,2.2000000477,2.5761635303,2.199,1.818,4.1647,4.573,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7584,0.2414,2.833E-05,7.741E-06,7.034E-05,-1,0.0001637,0.225,0.841,1.331,1.442,1.496,1.569,1.736,1.786,1.825
0.00015547,-2,8.47712,2.2299907207,2.5771715641,2.228,1.848,4.1679,4.562,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7585,0.2414,2.833E-05,7.741E-06,7.034E-05,-1,0.0001637,0.151,0.776,1.273,1.387,1.441,1.516,1.684,1.735,1.775
0.00015547,-2,8.47712,2.25,2.5778269768,2.249,1.868,4.1698,4.553,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7585,0.2414,2.833E-05,7.741E-06,7.034E-05,-1,0.0001629,0.1,0.731,1.233,1.348,1.403,1.478,1.648,1.699,1.739
0.00015547,-2,8.47712,2.2914829254,2.5791437626,2.29,1.909,4.1736,4.535,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7585,0.2413,2.833E-05,7.741E-06,7.034E-05,-1,0.0001632,-0.003,0.639,1.149,1.267,1.322,1.399,1.571,1.623,1.664
0.00015547,-2,8.47712,2.2999999523,2.5794074535,2.299,1.918,4.1743,4.531,1,0,0.537,0,0,0,0,0,-1,-1E-30,0,0.7585,0.2413,2.833E-05,7.741E-06,7.034E-05,-1,0.0001636,-0.024,0.619,1.131,1.249,1.305,1.382,1.555,1.607,1.648
